Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
0	148,742	15,3671	47,2972	
0	179,05	0	27,0711	
12	178	0	28,6437	
12	142	0	25,4315	
8	141,65	0	30,1638	
8	149,155	14,8025	41,7608	
-8	149,155	14,8025	38,3769	
-8	141,65	0	30,8817	
-12	142	0	24,9123	
-12	178	0	28,5545	
0	148,742	-15,3671	47,5195	
8	149,155	-14,8025	39,2893	
12	171	0	21,8986	
12	149	0	31,3128	
0	129,613	9,84088	98,8289	
8	129,564	9,14268	102,193	
-8	149,155	-14,8025	42,8344	
-12	171	0	21,9811	
-12	149	0	33,4996	
-8	129,564	9,14268	102,549	
0	129,613	-9,84088	97,451	
8	129,564	-9,14268	99,3489	
8	171	0	20,6468	
8	149	0	34,2783	
0	149	0	37,8569	
-8	149	0	36,4917	
-8	171	0	20,7187	
0	171	0	19,2636	
12	29	0	29,9734	
12	-4,66356e-015	29	5,5357	
8	-3,3884e-013	30,0718	5,54807	
8	30,0718	0	37,0485	
8	-3,3884e-013	-30,0718	5,34645	
12	1,77574e-015	-29	5,25218	
8	26,1498	-33	1,66543	
0	24,0736	-41	0,492885	
8	53,9243	-14,4319	83,5444	
0	53,9731	-15,1301	85,513	
0	28,3528	-30,5	5,07229	
2,63275	27,1698	-32,0617	2,18675	
0	25,3934	-36,5	0,808509	
8	53,9243	14,4319	84,2184	
0	53,9731	15,1301	86,6722	
0	24,0736	41	0,513656	
0	25,3934	36,5	0,951019	
2,63275	27,1698	32,0617	2,10183	
0	28,3528	30,5	4,42074	
8	26,1498	33	2,02883	
6,2563	36,1811	-5,19814	35,0972	
4,68676	41,9416	-11,2423	55,2827	
8	41,9659	-11,5897	54,6117	
8	35,9997	-5,17207	31,6582	
8	36,3694	0	34,555	
8	35,9997	5,17207	30,8619	
6,2563	36,1811	5,19814	37,7246	
6,10288	36,5688	0	41,1427	
8	41,9659	11,5897	54,0762	
4,68676	41,9416	11,2423	54,7793	
2,89547	120,719	5,54491	107,293	
4,86866	134,485	4,79026	75,7856	
2,89547	55,0694	10,1356	86,397	
8	134,508	5,11857	81,8815	
8	139,281	0	36,7654	
8	134,508	-5,11857	79,0444	
4,86866	134,485	-4,79026	78,3143	
6,10288	139,081	0	35,868	
2,89547	55,0694	-10,1356	84,5599	
2,89547	120,719	-5,54491	106,518	
-8	129,564	-9,14268	99,9955	
-8	30,0718	0	37,4188	
-12	29	0	30,2866	
-8	-3,3884e-013	30,0718	5,14186	
-12	-4,66356e-015	29	5,1319	
-12	1,77574e-015	-29	5,55635	
-8	-7,01661e-014	-30,0718	5,47981	
-2,63275	27,1698	-32,0617	2,39972	
-8	53,9243	-14,4319	84,56	
-8	26,1498	-33	1,80825	
-8	53,9243	14,4319	85,15	
-8	26,1498	33	1,72224	
-2,63275	27,1698	32,0617	1,85111	
-4,86866	134,485	4,79026	75,4189	
-8	134,508	5,11857	80,998	
-8	41,9659	11,5897	51,9315	
-4,68676	41,9416	11,2423	54,516	
-2,89547	55,0694	10,1356	85,0305	
-2,89547	120,719	5,54491	106,338	
-6,10288	139,081	0	31,482	
-4,86866	134,485	-4,79026	80,613	
-8	134,508	-5,11857	85,757	
-8	139,281	0	33,1885	
-2,89547	120,719	-5,54491	107,549	
-2,89547	55,0694	-10,1356	85,3263	
-4,68676	41,9416	-11,2423	56,2166	
-8	41,9659	-11,5897	53,5409	
-6,2563	36,1811	-5,19814	35,0694	
-8	35,9997	-5,17207	32,0217	
-6,10288	36,5688	0	42,327	
-6,2563	36,1811	5,19814	36,5245	
-8	35,9997	5,17207	30,9047	
-8	36,3694	0	35,3131	
0	0	-36,5	4,65836	
2,63275	-8,52096e-015	-32,0617	5,14801	
0	0	-30,5	5,31139	
2,63275	-8,52096e-015	32,0617	5,21464	
0	0	36,5	4,70928	
0	0	30,5	5,5541	
5,42943	36,8016	-5,33958	43,4312	
3,82785	41,6043	-10,2502	52,0047	
5,27287	37,2074	0	52,8189	
5,42943	36,8016	5,33958	44,2399	
3,82785	41,6043	10,2502	51,7328	
2	55	9,14351	87,5645	
2	120,65	4,55281	107,843	
4,01346	134,696	3,79816	65,174	
4,01346	134,696	-3,79816	64,386	
