Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
0	3,05101e-006	-7,63685e-007	4,6844	
0	200	-7,63685e-007	4,01763	
0	200	100	4,01814	
0	3,05101e-006	100	4,63184	
0	125	50	3,28619	
0	75	50	3,5585	
0	10	-7,63685e-007	4,50941	
0	20	-7,63685e-007	4,77095	
0	30	-7,63685e-007	5,02195	
0	40	-7,63685e-007	5,47983	
0	50	-7,63685e-007	6,02708	
0	60	-7,63685e-007	6,45858	
0	70	-7,63685e-007	6,52909	
0	80	-7,63685e-007	6,04038	
0	90	-7,63685e-007	5,16456	
0	100	-7,63685e-007	4,69275	
0	110	-7,63685e-007	5,14553	
0	120	-7,63685e-007	5,84852	
0	130	-7,63685e-007	6,25494	
0	140	-7,63685e-007	6,20054	
0	150	-7,63685e-007	5,82218	
0	160	-7,63685e-007	5,2939	
0	170	-7,63685e-007	4,79215	
0	180	-7,63685e-007	4,37141	
0	190	-7,63685e-007	4,10306	
0	200	10	3,97631	
0	200	20	3,84636	
0	200	30	3,70939	
0	200	40	3,60899	
0	200	50	3,5763	
0	200	60	3,61877	
0	200	70	3,73	
0	200	80	3,88254	
0	200	90	4,00109	
0	190	100	4,09986	
0	180	100	4,37238	
0	170	100	4,83368	
0	160	100	5,37848	
0	150	100	5,96178	
0	140	100	6,4309	
0	130	100	6,50454	
0	120	100	6,0188	
0	110	100	5,16634	
0	100	100	4,7138	
0	90	100	5,15646	
0	80	100	5,8478	
0	70	100	6,25799	
0	60	100	6,20861	
0	50	100	5,87067	
0	40	100	5,42345	
0	30	100	4,98933	
0	20	100	4,68059	
0	10	100	4,83126	
0	3,05101e-006	90	4,03862	
0	3,05101e-006	80	3,57587	
0	3,05101e-006	70	3,29484	
0	3,05101e-006	60	3,09409	
0	3,05101e-006	50	3,06784	
0	3,05101e-006	40	3,21251	
0	3,05101e-006	30	3,49163	
0	3,05101e-006	20	3,85312	
0	3,05101e-006	10	4,30818	
0	123,579	58,3085	3,91415	
0	119,804	65,258	5,10144	
0	115,198	69,8499	7,07988	
0	108,86	73,3775	10,558	
0	100,651	74,9915	10,9173	
0	92,3805	73,8106	10,5875	
0	85,2765	70,2044	7,28623	
0	80,0622	65,0826	5,21992	
0	76,6615	58,9619	3,6723	
0	76,7546	40,7995	3,61616	
0	80,2704	34,6461	4,9483	
0	84,742	30,1961	7,1142	
0	91,3937	26,5281	10,5384	
0	99,4075	25,007	11,0051	
0	107,781	26,2418	10,5958	
0	114,622	29,7221	7,24163	
0	120,141	35,1903	5,21465	
0	123,717	42,0943	3,9935	
0	10	90	4,47054	
0	20	90	4,5379	
0	20	80	4,08934	
0	10	80	3,90145	
0	10	70	3,43704	
0	20	70	3,45188	
0	20	60	3,04273	
0	10	60	3,17083	
0	10	50	3,01753	
0	20	50	2,96548	
0	20	40	3,1264	
0	10	40	3,13428	
0	10	30	3,37072	
0	20	30	3,54996	
0	20	20	4,04294	
0	10	20	3,7146	
0	10	10	4,15799	
0	20	10	4,49085	
0	30	10	4,73392	
0	40	10	5,04417	
0	50	10	5,50339	
0	59,8805	10,0816	6,00076	
0	70,0597	10,1778	6,45323	
0	80,1077	10,0024	6,63472	
0	89,8829	9,74523	6,3609	
0	99,5528	9,68342	6,1182	
0	109,591	9,99138	6,21474	
0	119,736	10,2301	6,24897	
0	129,812	10,0384	6,13996	
0	140	10	5,84777	
0	150	10	5,45367	
0	160	10	5,01991	
0	170	10	4,64231	
0	180	10	4,32279	
0	190	10	4,09311	
0	190	20	3,97464	
0	190	30	3,78774	
0	190	40	3,62068	
0	190	50	3,53491	
0	190	60	3,56761	
0	190	70	3,69924	
0	190	80	3,88068	
0	190	90	4,04785	
0	180	90	4,28485	
0	180	80	4,12851	
0	170	90	4,51629	
0	170	80	4,1476	
0	170	70	3,78942	
0	160	80	4,37859	
0	160	70	3,61244	
0	160	60	2,91398	
0	150,043	71	4,21396	
0	150,136	61,1041	3,04569	
0	150,035	51	2,20597	
0	140,905	59	2,43878	
0	139,728	49,5	2,09025	
0	140,989	39	2,91271	
0	131,727	49,8355	2,19008	
0	131,236	40,7413	3,18962	
0	129	30,1998	4,98027	
0	119,736	29,3054	5,77175	
0	119,039	21	6,84129	
0	106,795	18,4403	8,69802	
0	97,2827	16,6646	7,86942	
0	90,0691	18,8541	8,55051	
0	77	27,6033	5,6697	
0	80,5714	20,8696	7,12517	
0	69,6445	32,0594	4,17787	
0	69,4661	20,1224	6,20482	
0	57,1374	30,6618	3,92916	
0	59,5212	20,2977	5,28424	
0	48,5279	31,0533	3,59835	
0	49,8541	20,1352	4,63764	
0	39,9518	29,118	3,86463	
0	39,7616	19,75	4,5101	
